Comment ID,Likes,Text
UgxM3iZkOs9ZRkpGBv54AaABAg,9,"The reasons why governments don&#39;t talk about this is because they don&#39;t want another Ayodhya case! Development ke liye stability chahiye, agar app history ko le ke vaad vivaad me ulzhe rahe toh development ruk jayega (discussions that change into arguments that change into riots)...abhi India ko focus karna hai development aur mass literacy...and by literacy I don&#39;t mean 4th pass ya madarsa pass, I&#39;m mean literacy with proper logical reasoning... history should not be forgotten and all these disputes need to be resolved but right now it should not be our priority...abhi desh ke naujavan khali pade hai, aur khali dimaag shaitan ka ghar rehta hai...<br>aur rahi baat hindu dharma ki, we should lead by example, we should re-establish dharmic institutions, sanatani dharma apart from being philosophical was also scientifically advanced...but how many mandirs in India do you know that are actually investing their time and efforts into scientific efforts?...(for all I know patanjali,ravi shankar, isha foundation and probably iskcon are the only institutes that are going forward with vedic philosophy and sciences like yog, ayurved, astronomy etc)..ek jamana tha jab hamare mandirs used to be Universities (watch Praveen Mohan&#39;s video on Sun temple gujrat)...it is time that we re-establish that"
Ugx0tO6S65QoFJbxpQh4AaABAg.92TdWo3DQXP98-w3-zgYgU,8,The only hindu &#39;Samrat&#39; I was taught about was Ashoka.. that&#39;s sad...
Ugxu3dOMT9t5RqL2DcB4AaABAg.8tum9fMA9bR91u0NA3Rkl7,8,"I would say Mason from Masaman and the host of Kaspian Report, Shirvan are the same person..."
UgwKO14aXVpRRm5fGPV4AaABAg.A5aYyhF96aFA5abN4Z2Koo,8,Ladki Bahin was not needed. Congress has opened a nasty can of worms over the past couple of years by announcing these freebies in Karnataka and Telangana elections. MVA is insecure hence they too have followed Congress’s strategy. Who is at loss? General tax-paying public. How will they fund Ladki bahin? By siphoning money from Infrastructure funds.
Ugx3dFIGIJ1yqnjV7bd4AaABAg,7,"From Minute 45 to 67, it looked as if Mumbai was close to a goal…passing was great in the middle. Fouls from Al Hílal, great counters..but Greg Stewart holds mumbais attack back tbh."
UgxZo9a_yf7gHygqWF14AaABAg,7,"Tatya Vinchu, Kubdya Khaviis, Kavtya Mahakal..iconic names for Marathi Villains"
Ugy8wzCvl0JMAHxwg3V4AaABAg.9FJE2FsvLHw9FJveFoFSnz,7,"@Lordchagnon aiff, which is run by prafool patel (NCP politician), Ask us Maharashtrians what NCP is...during Pawar&#39;s reign of bcci/icc maximum scandals happened in the cricket world"
Ugw8s8rfLARFRNycJ4F4AaABAg,7,Shang family....RSS and BJP run by the Chinese 😂😂😂
UgzedaggGY8nVFjq8IR4AaABAg.9BnzrYwd2Xu9BxTLsp1eHI,7,"Lol, and I was like is no one going to address that"
UgxTN6IxmM_83BqVqet4AaABAg,7,I can&#39;t believe it took you so long to remember Jon Stewart!!!
Ugwi6UALWVSsJV5JM854AaABAg,6,Bhai…I went through your comments on the podcast and your dhruv rathee video. I think very soon you would be targeted and viewership would fall. So please share patreon cause i would like to support you for my daily Infra news.
UgzC6pWBhgEjMG7V0ct4AaABAg.8vTlIpUsidC8vXD-_dv9Pj,6,And Jijau🙏
UgwTDgA0fBsiXpwbmSN4AaABAg,6,Willian needs to make those passes to pulisic or Abraham... throughout the game i saw Willian cutting in and pulisic and Abraham ready to make the run but Willian won&#39;t pass...
Ugze4NAzkaRC3rUzMGd4AaABAg.A3iX3Ce8BEuA5Kye30Iw_6,6,"@stifler5062 it’s like comparing a Nokia N95 vs IPhone 12. Both were great. Messi learnt from the Wizard but didn’t take his bad habits, hence made him a better consistent player. Prime R9, Ronaldhino had short careers..about 2-3 years. Whereas Messi and CR7 era lasted for a decade. There can never be a Goat in any sport. Cause sports science and ability to use Human anatomy keeps on improving."
UgyAnY4gTWX_gei4QUR4AaABAg.AUboSj-Lh31AUbwI2M95Om,5,PVs are still not efficient enough…we are still at 20-35% range (including perovskite) while boilers operate at 70-80% thermal efficiency.
Ugx3fy-dCrxlSaz6Evx4AaABAg,5,make a video on cpec vs dmic
Ugz9zJFDtYpGu5_Pqfh4AaABAg.AT723kKV_-qATF95S3LoNX,5,"Dude, you have rambalaji in your name"
Ugzozbb6z-ZIBPmIz794AaABAg,5,"Bhai, Pune me ache seats ki tickets nahi mil rahi hai…aaisi bheed hai movie ko"
Ugw-qF66h225Kv-WA_h4AaABAg,5,This gives me hope. Until now people of Pakistan were in a state of denial that their cities had poor infra and a bad economy. But now a positive conversation has started amongst the youth of Pakistan on how to develop. Surely in 10 years I see Pakistan in a better place from where it is today. And hopefully one day I can travel in a bullet train from Mumbai to Karachi hassle free. The way it should be😊
UgyMDPK_wseJTCuWcOJ4AaABAg.92CoXJHNORz92IWSCiv_I4,5,It kind of provoked people to have more kids... health care wasn&#39;t the best in those days...1 out of three children would die...so just have more kids and hope they would survive was the thought process of Indian parents at that time (at least in rural India)...and after Sanjay started the vasectomy campaign... people feared that they would never have kids...so they started marrying early and have maximum number of kids before sanjay visited their town
UgwAq9AMUtfFiGs9Y2B4AaABAg.A08mvz3W98kA096K0781uo,4,"@amishsurani4765 Aurangzeb and Shivaji never met in battle field. Shivaji Maharaj defeated Shahistkhan (uncle of Aurangzeb). <br>Yes, Maharaj was defeated by Mirzaraje Jaisingh (Rajput) who signed a peace treaty between Mughals and Maratha Empire.<br>But Aurangzeb deceived Maharaj in Agra even after peace treaty was signed."
UgyWT--hoXLGGgOEGxt4AaABAg.9wE-pc9QoFK9wEalRtgZdr,4,India needs to stop brain drain..or at the least start reversing it to some extent. Many good candidates leave the country because of lack of opportunities within the country. And caste reservations don’t help in that.
UgyqTVqte40ZsUmS_W14AaABAg.AR99EuxKRSbARC6uXBIKhM,4,"It’s not Christmas…it’s Saturnalia (the original Roman holiday)…in a century, it would be not be Onam, or Diwali, it would be Harvest festival like Halloween and Festival of Lights."
Ugz7UhigAk-DuFhgdTp4AaABAg.91oq952wiex92IX5qI_V0U,4,"@THE HUMANIST both wanted to be strong and independent...no BS from anybody...not the USA, not the USSR... Indira gave us the green revolution and modi is trying to give the digital revolution...both have their flaws...but i guess no human is perfect...i dont think Indira wanted a dynasty as such...it is believed that she might have had a hand in Sanjay&#39;s plane crash...and in shastri death as well... She was just power hungry"
UgwHRss7qXQR08syZO94AaABAg.A6hYBgLbBrPA6hsYThLDni,4,"@abilintalukder8081 BJP fucked up big time…they had the opportunity to win Vidhan Sabha Election 2024 and Lok Sabha Election in Maharashtra with a landslide. There is a saying in Marathi. Aati ghai, mhasnat nehi. BJP could have just sat outside of State gov and let Maha Vikas Aghadi mismanage the state for 5 years. People were getting frustrated with Udhav Thakarey, Ajit Pawar alliance. But BJP had to break traditional parties like Shiv Sena for short term gains. That is short sightedness from Devendrá Phadanvis. Later, they also welcomed the most corrupt politicians in Mahayuti in 2023-24 period (ie Ajit Pawar, Ashok Chavan, Bhujbal, Hasan Mushrif etc). This is the beginning of the downfall. An Ex-CONgressman Jarange was left amok, who picked up the Maratha reservation issue. All this has culminated into a major anti incumbency. Plus, the Marathi media (which is bought by Sharad Pawar) is setting an Anti-government narrative…and is likely succeeding in it."
